,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
0,45285347,2020-01-01 00:00:00,2020-01-10 00:00:01,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,11229.0,3442 NOSTRAND AVENUE,NOSTRAND AVENUE,GRAVESEND NECK ROAD,AVENUE V,GRAVESEND NECK ROAD,AVENUE V,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/10/2020 04:38:17 PM,15 BROOKLYN,3073620008.0,BROOKLYN,1000400.0,157925.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6001292057807,-73.94184291675883,"(40.6001292057807, -73.94184291675883)"
1,45285651,2020-01-01 00:00:00,2020-01-02 00:00:01,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10458.0,2701 DECATUR AVENUE,DECATUR AVENUE,EAST 195 STREET,EAST 197 STREET,EAST  195 STREET,EAST  197 STREET,ADDRESS,BRONX,DECATUR AVENUE,,Closed,,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,01/15/2020 04:43:53 PM,07 BRONX,2032830055.0,BRONX,1015012.0,254391.0,PHONE,Unspecified,BRONX,,,,,,,,40.864865567707994,-73.88878325729915,"(40.86486556770799, -73.88878325729915)"
2,45285821,2020-01-01 00:00:00,2020-01-02 09:50:09,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Other (Explain Below),11203.0,5707 CHURCH AVENUE,CHURCH AVENUE,EAST 57 STREET,KINGS HIGHWAY,EAST   57 STREET,KINGS HIGHWAY,ADDRESS,BROOKLYN,CHURCH AVENUE,,Closed,,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/02/2020 09:50:00 AM,17 BROOKLYN,,BROOKLYN,1005466.0,177022.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65253575905768,-73.92353994017135,"(40.65253575905768, -73.92353994017134)"
3,45287907,2020-01-01 00:00:00,2020-01-02 00:00:01,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,11214.0,1602 SHORE PARKWAY,SHORE PARKWAY,BELT PARKWAY EXIT 5 EASTBOUND,BELT PARKWAY EB EN BAY PKWY,BELT PARKWAY EXIT    5 EASTBOUND,BELT PARKWAY EB EN BAY PKWY,ADDRESS,BROOKLYN,SHORE PARKWAY,,Closed,,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,01/15/2020 04:51:03 PM,11 BROOKLYN,3064910050.0,BROOKLYN,984202.0,156289.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59565343138651,-74.00017283917487,"(40.59565343138651, -74.00017283917487)"
4,45288240,2020-01-01 00:00:00,2020-01-02 00:00:01,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11385.0,1717 CORNELIA STREET,CORNELIA STREET,MYRTLE AVENUE,SENECA AVENUE,MYRTLE AVENUE,SENECA AVENUE,ADDRESS,Ridgewood,CORNELIA STREET,,Closed,,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,01/15/2020 04:44:34 PM,05 QUEENS,4034610052.0,QUEENS,1010470.0,194453.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.70036648979988,-73.90543829006366,"(40.700366489799876, -73.90543829006366)"
5,45288728,2020-01-01 00:00:00,2020-01-02 00:00:01,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11225.0,985 NOSTRAND AVENUE,NOSTRAND AVENUE,SULLIVAN PLACE,EMPIRE BOULEVARD,SULLIVAN PLACE,EMPIRE BOULEVARD,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,01/15/2020 04:45:05 PM,09 BROOKLYN,3013090001.0,BROOKLYN,997849.0,181347.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66442190467239,-73.95098201556381,"(40.66442190467239, -73.95098201556382)"
6,45289555,2020-01-01 00:00:00,2020-01-02 09:39:33,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11421.0,92-20 JAMAICA AVENUE,JAMAICA AVENUE,92 STREET,WOODHAVEN BOULEVARD,92 STREET,WOODHAVEN BOULEVARD,ADDRESS,Woodhaven,JAMAICA AVENUE,,Closed,,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,01/02/2020 09:39:33 AM,09 QUEENS,4089330077.0,QUEENS,1025018.0,191916.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.693347960627435,-73.85298676420625,"(40.69334796062744, -73.85298676420625)"
7,45288120,2020-01-01 00:00:00,2020-01-02 09:51:29,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,10455.0,748 EAST  149 STREET,EAST  149 STREET,CONCORD AVENUE,WALES AVENUE,CONCORD AVENUE,WALES AVENUE,ADDRESS,BRONX,EAST  149 STREET,,Closed,,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,01/02/2020 09:51:29 AM,01 BRONX,,BRONX,1009724.0,235487.0,ONLINE,Unspecified,BRONX,,,,,,,,40.81299645614164,-73.90797324533352,"(40.81299645614164, -73.90797324533352)"
8,45289558,2020-01-01 00:00:00,2020-01-15 00:00:01,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Other (Explain Below),11215.0,625 UNION STREET,UNION STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,01/15/2020 04:49:19 PM,06 BROOKLYN,3004340016.0,BROOKLYN,988567.0,186277.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67796304185789,-73.98443609121443,"(40.677963041857886, -73.98443609121443)"
9,45282225,2020-01-01 00:01:12,2020-01-01 03:07:10,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210.0,511 EAST   28 STREET,EAST   28 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,,BROOKLYN,EAST   28 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/01/2020 03:07:32 AM,14 BROOKLYN,3052300069.0,BROOKLYN,998097.0,171717.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.637989269156755,-73.95010786310772,"(40.63798926915675, -73.95010786310772)"
